Key,zh_CN,en_US,Notes
LOG_ACTION_FOLD,[{0}] 选择弃牌,[{0}] Folds,
LOG_WIN_FOLD,[{0}] 获胜，赢得 {1} 筹码 (对手弃牌)！,[{0}] Wins {1} Chips (All folded)!,
LOG_WIN_HAND,[{0}] 获胜，牌型为 [{1}]，赢得 {2} 筹码！,[{0}] Wins {2} Cchips with [{1}]!,
LOG_LOSE_HAND,[{0}] 失败，牌型为 [{1}],[{0}] Lost with [{1}],
LOG_BUY_IN,[{0}] 筹码耗尽，已重新买入 {1} 筹码！,"[{0}] is out of Chips, rebought {1} Chips!",
LOG_SKILL_CAST_SELF,[{0}]发动了[{1}],[{0}] uses [{1}],
LOG_SKILL_CAST_TARGET,[{0}]对[{1}]发动了[{2}],[{0}] uses [{2}] to [{1}],
LOG_SKILL_CAST_COMMUNITY,[{0}]对[公牌]发动了[{1}],[{0}] uses [{1}] to Community Card,
LOG_SKILL_SUCCESS,[{0}]的[{1}]技能成功了,[{0}] uses [{1}] successfully,
LOG_SKILL_FAIL,[{0}]的[{1}]技能失败了,[{0}] failed to use [{1}],
LOG_SKILL_INTERRUPT_SHOWDOWN,[{0}]的[{1}]技能中断了(进入亮牌阶段),[{0}] failed to use [{1}] due to Showdown,
LOG_SKILL_REFLECT,由于[反射壁]的效果，[{0}]的[{1}]技能被反弹给了[{2}],"Due to [Reflection Wall], [{1}] from [{0}] is reflected to [{2}]",
LOG_SYS_LOAD_CHIPS,[{0}] 成功载入云端筹码: {1} CP (携带 {2} 上桌),[{0}] Cloud chips loaded: {1} CP (bringing {2} to the table),
LOG_SYS_RECONNECT,[{0}] 重新连入游戏，已成功恢复掉线前的 {1} 筹码！,[{0}] Reconnected. Successfully restored {1} chips.,
LOG_YOU,你,YOU,
LOG_SOMEONE,某玩家,SOMEONE,
